Temperature (K), B_2V
190,-48288851938283872294273024
190,-48240984551544357214224384
190,-48193169419626016304791552
191,-48145406458638277030182912
191,-48097695584869263263924224
191,-48050036714785297072652288
191,-48002429765030366140170240
191,-47954874652425616961306624
191,-47907371293968985474727936
191,-47859919606834673076928512
191,-47812519508372751485239296
191,-47765170916108570032340992
191,-47717873747742300399730688
191,-47670627921148678919684096
191,-47623433354376439639572480
192,-47576289965647601357291520
192,-47529197673357295822569472
192,-47482156396073381189910528
192,-47435166052535754823827456
192,-47388226561655983931654144
192,-47341337842516824527208448
192,-47294499814371843473670144
192,-47247712396645049116393472
192,-47200975508930135368663040
192,-47154289070990318502936576
192,-47107653002757899064180736
193,-47061067224333488775757824
193,-47014531655986053489098752
193,-46968046218152045600309248
193,-46921610831435172121935872
193,-46875225416606042495647744
193,-46828889894601395498123264
193,-46782604186524125010853888
193,-46736368213642403846815744
193,-46690181897389589261189120
