Temperature (K), B_2V
157,-79085761222524144545955840
157,-78984731756637182662541312
157,-78883856027460690956517376
157,-78783133692812924148514816
157,-78682564411507813457592320
157,-78582147843350774713155584
157,-78481883649135581618765824
157,-78381771490640826699087872
157,-78281811030626107368931328
158,-78182001932828830477582336
158,-78082343861960501457059840
158,-77982836483703460146970624
158,-77883479464707204302503936
158,-77784272472585211318632448
158,-77685215175911227378368512
158,-77586307244216243795787776
158,-77487548347984476926640128
158,-77388938158650636569149440
158,-77290476348596163572662272
158,-77192162591146085921587200
158,-77093996560565376603127808
159,-76995977932056110338932736
159,-76898106381753684013875200
159,-76800381586723638400253952
159,-76702803224958582961209344
159,-76605370975374716927213568
159,-76508084517808642430337024
159,-76410943533014186228449280
159,-76313947702658895011905536
159,-76217096709321114825785344
159,-76120390236486718304813056
159,-76023827968545892037820416
160,-75927409590789803673124864
160,-75831134789407767240114176
160,-75735003251483815765344256
160,-75639014664993514406805504
160,-75543168718801280394330112
160,-75447465102656543328829440
160,-75351903507191614878515200
160,-75256483623917522660622336
160,-75161205145221776858415104
160,-75066067764364831168135168
160,-74971071175477359789735936
160,-74876215073556967481933824
161,-74781499154465191675035648
161,-74686923114924745101934592
161,-74592486652516105594077184
161,-74498189465674964870889472
161,-74404031253688938594828288
161,-74310011716694791822508032
161,-74216130555675269318836224
161,-74122387472456467037028352
161,-74028782169704696792481792
161,-73935314350923471195734016
161,-73841983720450892312346624
162,-73748789983456670955601920
162,-73655732845939068669788160
162,-73562812014722252030345216
162,-73470027197453286166757376
162,-73377378102599351623745536
162,-73284864439444926862721024
162,-73192485918089065252519936
162,-73100242249442285513080832
162,-73008133145224123584086016
162,-72916158317960151917658112
162,-72824317480979222109356032
163,-72732610348410827788255232
163,-72641036635182046600232960
163,-72549596057015263875301376
163,-72458288330425080251154432
163,-72367113172715665973313536
163,-72276070301978140965076992
163,-72185159437087765918908416
163,-72094380297701476985208832
163,-72003732604254922244882432
163,-71913216077960013577977856
163,-71822830440802126345011200
163,-71732575415537522406588416
164,-71642450725690944941719552
164,-71552456095552448761954304
164,-71462591250175398856622080
164,-71372855915373446735855616
164,-71283249817718082299232256
164,-71193772684536220064153600
164,-71104424243907321537757184
164,-71015204224660981445296128
164,-70926112356374522548453376
164,-70837148369370281226010624
164,-70748311994713124982751232
165,-70659602964207909828820992
165,-70571021010396989198696448
165,-70482565866557834539302912
165,-70394237266700398200094720
165,-70306034945564613762088960
165,-70217958638618128295133184
165,-70130008082053613708378112
165,-70042183012786516187414528
165,-69954483168452470623961088
165,-69866908287404972743589888
165,-69779458108712973924040704
165,-69692132372158252675235840
166,-69604930818233404594585600
166,-69517853188139059228180480
166,-69430899223781766946881536
166,-69344068667771516455223296
166,-69257361263419406919139328
166,-69170776754735302913818624
166,-69084314886425446421889024
166,-68997975403890223450423296
166,-68911758053221672949907456
166,-68825662581201408050069504
166,-68739688735298030489567232
167,-68653836263665146341097472
167,-68568104915138789031018496
167,-68482494439235357755047936
167,-68397004586149109217361920
167,-68311635106750293614788608
167,-68226385752582440217477120
167,-68141256275860450403418112
167,-68056246429468295555973120
167,-67971355966956611882188800
167,-67886584642540802037252096
167,-67801932211098466734047232
167,-67717398428167463417937920
168,-67632983049943724423380992
168,-67548685833278860382175232
168,-67464506535678270437851136
168,-67380444915298685524377600
168,-67296500730946261400682496
168,-67212673742074328087789568
168,-67128963708781199435497472
168,-67045370391808128717946880
168,-66961893552537126790234112
168,-66878532952989020763193344
168,-66795288355821031641841664
169,-66712159524324901719638016
169,-66629146222424867353919488
169,-66546248214675331093626880
169,-66463465266259049203105792
169,-66380797142984812379766784
169,-66298243611285650457755648
169,-66215804438216556075286528
169,-66133479391452689378312192
169,-66051268239287032968380416
169,-65969170750628673915715584
169,-65887186695000587556093952
170,-65805315842537704755560448
170,-65723557963984858916061184
170,-65641912830694973499244544
170,-65560380214626785693794304
170,-65478959888343094068772864
170,-65397651625008696989319168
170,-65316455198388434111561728
170,-65235370382845296597008384
170,-65154396953338348348375040
170,-65073534685420930713255936
170,-64992783355238661029363712
170,-64912142739527508479180800
171,-64831612615611852764741632
171,-64751192761402637271695360
171,-64670882955395427744088064
171,-64590682976668488139014144
171,-64510592604880968150417408
171,-64430611620270987653677056
171,-64350739803653686790455296
171,-64270976936419447852236800
171,-64191322800532134343737344
171,-64111777178526969269059584
171,-64032339853508808554840064
172,-63953010609150569092218880
172,-63873789229690978173976576
172,-63794675499932949996896256
172,-63715669205241833315106816
172,-63636770131543427165192192
172,-63557978065322288649076736
172,-63479292793620014947106816
172,-63400714104033310582767616
172,-63322241784712140586745856
172,-63243875624358270208049152
172,-63165615412223151790096384
172,-63087460938106284093210624
173,-63009411992353674696327168
173,-62931468365855632383803392
173,-62853629850045452885426176
173,-62775896236897468961259520
173,-62698267318925409724137472
173,-62620742889180545213792256
173,-62543322741250105848889344
173,-62466006669255598799847424
173,-62388794467850909613293568
173,-62311685932220850513117184
173,-62234680858079227665186816
174,-62157779041667441018011648
174,-62080980279752431308374016
174,-62004284369625382981206016
174,-61927691109099928893259776
174,-61851200296510303477170176
174,-61774811730709942582116352
174,-61698525211069791256707072
174,-61622340537476499862716416
174,-61546257510330980966072320
174,-61470275930546717119741952
174,-61394395599548034286878720
174,-61318616319268693091549184
175,-61242937892150110702272512
175,-61167360121139874773336064
175,-61091882809689956738400256
175,-61016505761755346010898432
175,-60941228781792366356856832
175,-60866051674757069577125888
175,-60790974246103723678892032
175,-60715996301783146428366848
175,-60641117648241219292102656
175,-60566338092417367018569728
175,-60491657441742934140518400
176,-60417075504139638786752512
176,-60342592088018129573117952
176,-60268207002276301975322624
176,-60193920056297906759532544
176,-60119731059950978024341504
176,-60045639823586278422609920
176,-59971646158035795922911232
176,-59897749874611369419997184
176,-59823950785102987927748608
176,-59750248701777441959444480
176,-59676643437376751569731584
177,-59603134805116749015416832
177,-59529722618685584106848256
177,-59456406692242238149230592
177,-59383186840415046473875456
177,-59310062878300238149320704
177,-59237034621460510052188160
177,-59164101885923557988368384
177,-59091264488180659353812992
177,-59018522245185161306046464
177,-58945874974351106374631424
177,-58873322493551875251503104
177,-58800864621118520343658496
178,-58728501175838683441397760
178,-58656231976954809011929088
178,-58584056844163113407217664
178,-58511975597611952776413184
178,-58439988057900354187034624
178,-58368094046076933293211648
178,-58296293383638210708504576
178,-58224585892527271976108032
178,-58152971395132582157877248
178,-58081449714286413876297728
178,-58010020673263576004165632
179,-57938684095779970555576320
179,-57867439805991390095081472
179,-57796287628491954369593344
179,-57725227388313053746429952
179,-57654258910921553916985344
179,-57583382022218962673074176
179,-57512596548539814999228416
179,-57441902316650315863031808
179,-57371299153747146214211584
179,-57300786887456131544776704
179,-57230365345830858909548544
179,-57160034357351405615841280
180,-57089793750923033553403904
180,-57019643355874874934427648
180,-56949583001958678163095552
180,-56879612519347484985655296
180,-56809731738634299050557440
180,-56739940490830934857220096
180,-56670238607366660546363392
180,-56600625920086866460147712
180,-56531102261251905501003776
180,-56461667463535753101836288
180,-56392321360024890534526976
181,-56323063784216775901577216
181,-56253894570018899243302912
181,-56184813551747373788561408
181,-56115820564125716184039424
181,-56046915442283575183933440
181,-55978098021755632138321920
181,-55909368138480338272780288
181,-55840725628798420039761920
181,-55772170329452123204354048
181,-55703702077583632296312832
181,-55635320710734074177650688
181,-55567026066842126473232384
182,-55498817984243029728296960
182,-55430696301667264558530560
182,-55362660858239297519616000
182,-55294711493476627624493056
182,-55226848047288326054477824
182,-55159070359974022546980864
182,-55091378272222711394598912
182,-55023771625111488724729856
182,-54956250260104659146375168
182,-54888814019052086482698240
182,-54821462744188601065537536
183,-54754196278132316108226560
183,-54687014463883949100761088
183,-54619917144825327161180160
